词语,情感分类,强度
不落窠臼,喜欢,6.510138158451273
不难,喜欢,5.360283347747583
不偏不倚,喜欢,2.0074937438397162
不屈,喜欢,1.8378089337232772
不屈不挠,喜欢,0.9473567622360095
不容怀疑,喜欢,3.899249001813187
不容置辩,喜欢,6.504799085252126
不容置疑,喜欢,5.416430467033802
不俗,喜欢,2.103246438148164
不同凡响,喜欢,5.922341475532565
不同寻常,喜欢,3.2840825180540465
不为已甚,喜欢,2.736154458366099
不畏艰险,喜欢,2.8479754062296125
不无道理,喜欢,2.6495797924562083
不无小补,喜欢,5.324312636707216
不无裨益,喜欢,5.289484334709403
不武断,喜欢,4.2363991009854205
不限,喜欢,1.7016405865642645
不懈,喜欢,0.8797086135794498
不懈怠,喜欢,5.999809969276074
不泄气,喜欢,3.7451598905280346
不言而喻,喜欢,8.165578318719856
不厌其烦,喜欢,5.327702379260373
不厌其详,喜欢,4.649755323163163
不在话下,喜欢,1.6352575112523802
不争,喜欢,4.469030638181224
不整齐,喜欢,5.340373375972624
不知疲倦,喜欢,4.322514959002678
部优,喜欢,4.458102861463097
才高八斗,喜欢,2.9640204700238755
才华横溢,喜欢,3.3329162114412116
才略过人,喜欢,4.091865010663229
才气横溢,喜欢,3.3588063778190547
才思敏捷,喜欢,5.801282213263283
财大气粗,喜欢,1.3869445059029912
惨淡,喜欢,5.582863006385805
惨烈,喜欢,3.56527754125854
灿,喜欢,4.0694518382193445
灿烂,喜欢,4.792374541494829
灿烂夺目,喜欢,4.505353112056953
灿亮,喜欢,2.9366133948849455
灿然,喜欢,4.907911233111891
苍郁,喜欢,3.4505669286569827
缠绵,喜欢,4.381295334891021
昌,喜欢,5.824322751487005
昌明,喜欢,2.1143244994419392
常,喜欢,2.3794311810010336
常规,喜欢,3.541964336696823
长,喜欢,5.720517498784895
长治久安,喜欢,1.103760324139453
敞开,喜欢,6.657517150984264
敞开儿,喜欢,5.520263505434292
敞口,喜欢,4.923909511259772
敞亮,喜欢,2.237385672403554
畅达,喜欢,4.625203307594389
畅顺,喜欢,5.9726942265566505
超拔,喜欢,6.266745524813503
超尘拔俗,喜欢,4.616048800789516
超等,喜欢,4.538458402422169
超凡入圣,喜欢,8.29613058156827
超凡脱俗,喜欢,1.4254211231916076
超级,喜欢,3.6656315407075724
超绝,喜欢,6.116441958731125
超群,喜欢,-0.627950561331633
超群绝伦,喜欢,4.070978646981549
超俗,喜欢,2.6803947842058418
超俗绝世,喜欢,2.96903252096849
超逸,喜欢,4.948170345909553
超卓,喜欢,4.277777469437313
朝气勃勃,喜欢,4.806303838169929
朝气蓬勃,喜欢,3.54058493127173
车水马龙,喜欢,2.9895795006897403
澈,喜欢,5.297103772644133
沉寂,喜欢,6.344604472791391
沉静,喜欢,-0.4701477023043177
沉稳,喜欢,5.046977513283336
沉毅,喜欢,2.953281978827205
沉鱼落雁,喜欢,5.4200870702146835
沉着,喜欢,3.087361568234887
称身,喜欢,3.331150416485146
成,喜欢,4.71629303299019
成器,喜欢,3.885107752438524
成趣,喜欢,0.9050527880485535
成熟,喜欢,4.863015480761261
澄,喜欢,9.885132360703128
澄碧,喜欢,4.277255652165294
澄澈,喜欢,0.4878796116973696
澄净,喜欢,3.865882773569063
澄明,喜欢,1.9917054658608127
澄清,喜欢,2.4528224297252126
诚,喜欢,6.248921488252799
诚恳,喜欢,5.748723493793247
诚朴,喜欢,2.5054561889060976
诚实,喜欢,2.241491495713613
诚心,喜欢,3.828749993291181
诚心诚意,喜欢,7.2864290691458455
诚挚,喜欢,6.3995732256648115
诚笃,喜欢,5.154335557472923
承平,喜欢,5.576241744418235
吃得开,喜欢,5.286324135899413
吃香,喜欢,4.939116681945989
持平,喜欢,2.432856372728707
持正不阿,喜欢,3.8507082435947892
持之有故,喜欢,4.370372371472695
持重,喜欢,3.881075865441154
驰名,喜欢,1.6309315337116965
驰誉,喜欢,5.149304665619829
赤,喜欢,7.947188927584098
赤忱,喜欢,2.39835646963924
赤诚,喜欢,3.8560322651020913
赤胆,喜欢,6.493182614487868
赤胆忠心,喜欢,3.501910556488222
赤裸,喜欢,1.3321862841173204
赤裸裸,喜欢,1.2500868393213422
赤色,喜欢,5.866584452419443
赤心,喜欢,0.15136536153260582
炽盛,喜欢,6.330799947184312
崇,喜欢,5.731557779319693
崇高,喜欢,1.9377150841397532
初生牛犊般,喜欢,4.123128491636708
出类拔萃,喜欢,5.7418144275030905
出色,喜欢,2.4270777572494424
出身高贵,喜欢,4.4094013485527945
出身名门,喜欢,4.388504595404976
出神入化,喜欢,6.2225583944452785
出手不凡,喜欢,1.864142588161747
出手大方,喜欢,1.4753174173595207
出以公心,喜欢,5.026587171986637
出众,喜欢,1.172299545227324
楚楚,喜欢,7.742141146491515
楚楚动人,喜欢,4.176458638191542
楚楚可怜,喜欢,4.034679808750701
楚楚可人,喜欢,3.3317051074133577
传神,喜欢,4.8946790503762605
传统,喜欢,4.4400986524792305
窗明几净,喜欢,2.0450347294916975
创造性,喜欢,5.3938403591498805
春光明媚,喜欢,2.8197429105567626
春秋鼎盛,喜欢,4.1837967963415785
春秋正富,喜欢,3.7149245137838394
春色满园,喜欢,6.7310785412054575
春意融融,喜欢,1.5700760695722926
醇,喜欢,8.736188311104097
醇和,喜欢,5.198814713190473
醇厚,喜欢,2.053199457804323
醇美,喜欢,1.518212468879034
醇浓,喜欢,5.78099840599584
醇朴,喜欢,6.616045674678558
醇香,喜欢,5.254511532326669
唇红齿白,喜欢,3.091648289410817
淳,喜欢,0.1385475103637379
淳厚,喜欢,7.775164526442243
淳美,喜欢,7.111347933135983
淳朴,喜欢,4.865846901814679
纯,喜欢,4.319287508499679
纯粹,喜欢,8.636847641813388
纯厚,喜欢,1.935541990605143
纯洁,喜欢,7.041270537251908
纯净,喜欢,7.764400081946361
纯朴,喜欢,3.1301460333733626
纯熟,喜欢,4.240768585335592
纯一,喜欢,4.6641992413631375
纯真,喜欢,0.574041655458442
纯正,喜欢,3.195638841478172
纯挚,喜欢,7.040536476142072
纯种,喜欢,3.3889105905632073
绰约,喜欢,3.142896606758594
绰约多姿,喜欢,3.951513337445798
慈,喜欢,2.544131413021371
慈悲,喜欢,3.1561934423169977
慈悲为怀,喜欢,2.365112677022998
慈善,喜欢,9.621437609825414
慈祥,喜欢,4.457677574976606
瓷实,喜欢,3.368091735560036
刺眼,喜欢,6.117582684505829
聪慧,喜欢,3.0043402924403897
聪敏,喜欢,2.525094274663063
聪明,喜欢,3.899753590528495
聪明过人,喜欢,6.584031142479168
聪明绝顶,喜欢,3.4008742934648217
聪明伶俐,喜欢,4.1009202617427105
聪悟,喜欢,5.618412845516499
聪颖,喜欢,2.103655183225285
葱葱,喜欢,5.234994935778158
葱茂,喜欢,1.9008043695421826
葱郁,喜欢,2.409583344713833
葱茏,喜欢,7.910640003957827
从宽,喜欢,1.666947888713255
从轻,喜欢,6.773729151134418
从权,喜欢,3.9569753505506506
从实,喜欢,4.164767143170489
从始至终,喜欢,6.416460522272672
从头到底,喜欢,8.513974087212633
从头到尾,喜欢,4.596075149129689
从头至尾,喜欢,2.1165326776950684
从一而终,喜欢,4.940733142295125
粗放,喜欢,2.104941899612098
粗豪,喜欢,5.651472250464934
粗实,喜欢,3.634997664231569
粗中有细,喜欢,2.936740516010948
粗壮,喜欢,5.420422432844143
粗犷,喜欢,2.964705400362125
簇新,喜欢,1.8875383484531612
催人奋进,喜欢,4.10966829783232
脆,喜欢,3.2366091915468713
脆亮,喜欢,2.7142776948849696
脆美,喜欢,2.675892257493892
脆生,喜欢,4.2897981290963285
脆响,喜欢,4.3700971531849735
粹,喜欢,1.9046038611292473
粹白,喜欢,3.6711748125029455
错落有致,喜欢,5.062293107683876
达,喜欢,1.9774907885773478
达观,喜欢,4.399893053407433
打心底里,喜欢,1.2685504891344035
打心眼儿里,喜欢,5.907380204207317
打心眼里,喜欢,3.2495965455188416
打眼,喜欢,6.219889019073683
大,喜欢,4.918415118645505
大慈大悲,喜欢,3.11305673643201
大大方方,喜欢,2.1069143558418264
大胆,喜欢,4.204394653823411
大胆泼辣,喜欢,0.46727001735284546
大度,喜欢,5.290639668296725
大而全,喜欢,3.788312480597593
大方,喜欢,-0.0547554307150655
大功率,喜欢,5.60372547940876
大公无私,喜欢,2.450489844019845
大好,喜欢,4.158580080621091
大红大紫,喜欢,2.7206584844897836
大吉,喜欢,8.153725299998989
大吉大利,喜欢,6.967072023356781
大量,喜欢,-1.5344162782316317
大名鼎鼎,喜欢,3.6386704265957865
大无畏,喜欢,5.436253626028322
大有文章,喜欢,2.0833166401343313
大有希望,喜欢,6.568689751480587
大有益处,喜欢,5.910353799393201
大有作为,喜欢,6.817236592505756
大有裨益,喜欢,0.16322631875756777
带劲,喜欢,4.470452225993698
带修辞色彩,喜欢,1.1752047502009066
单纯,喜欢,1.1700690971467091
单刀直入,喜欢,7.194609663955513
单一,喜欢,6.036944419490699
胆大,喜欢,10.143057402213863
淡泊,喜欢,6.629672493914937
淡泊明志,喜欢,1.9722428857564025
淡泊名利,喜欢,4.244275319572399
淡雅,喜欢,1.2218740942479052
弹性,喜欢,8.146826978326734
当,喜欢,3.1488031392768048
当红,喜欢,2.5821186163373526
当面,喜欢,4.711111244445344
当仁不让,喜欢,3.3389624816662877
当心,喜欢,3.9510556711491516
当众,喜欢,6.547484629581273
到,喜欢,1.765803687666859
到家,喜欢,3.6821081871542978
道不拾遗,喜欢,-0.31199264584325537
道道地地,喜欢,5.50285225178615
道地,喜欢,3.900002419160715
得当,喜欢,4.013838647416649
得法,喜欢,7.365676936728433
得力,喜欢,3.2737893449290154
得势,喜欢,-0.628809346282563
得体,喜欢,6.185807861313876
得天独厚,喜欢,1.4708849010920364
得心应手,喜欢,-0.09220556011431214
得宜,喜欢,5.73758021218404
灯火辉煌,喜欢,7.47101115837868
灯火通明,喜欢,6.307710045002217
登峰造极,喜欢,7.6982996320495225
等内,喜欢,3.7518794388532304
低调,喜欢,1.790101157153845
低价,喜欢,0.9415413307287381
低价位,喜欢,6.217447110012873
低廉,喜欢,3.7938634005197853
低首下心,喜欢,5.203271831899151
滴水不漏,喜欢,4.064932166671236
滴水穿石,喜欢,5.579402009839677
地道,喜欢,5.318665546756853
地地道道,喜欢,3.2227027018044017
地动山摇,喜欢,-1.7159999634376595
地覆天翻,喜欢,4.386140059972329
第一流,喜欢,3.3837550649150683
典型,喜欢,2.6883375491203765
典型性,喜欢,5.956061919737599
典雅,喜欢,2.784826108120796
调和,喜欢,8.5922221467757
调谐,喜欢,5.598843641882238
跌荡,喜欢,4.0739688318250336
跌宕,喜欢,5.532478019064762
叠翠,喜欢,6.014123522329884
秾,喜欢,3.30582981725232
秾艳,喜欢,4.322468245902009
丁是丁，卯是卯,喜欢,3.3450311056978763
顶刮刮,喜欢,3.8106671700612713
顶级,喜欢,2.193291925272688
顶尖,喜欢,1.9812360499135688
顶事,喜欢,3.806206995920958
顶数,喜欢,2.6733277871608214
顶天立地,喜欢,1.9331187098668163
顶用,喜欢,0.2027938823752855
顶呱呱,喜欢,1.908173065640999
鼎鼎大名,喜欢,4.629217994390062
定,喜欢,3.9525586248806124
懂礼,喜欢,5.090581935709371
懂事,喜欢,4.942388632089196
懂行,喜欢,1.974853689917885
动平衡,喜欢,3.079543070079194
动人,喜欢,2.9044958111202797
动人心魄,喜欢,2.8654135093166317
动人心弦,喜欢,4.834248804868016
动态各异,喜欢,5.086067652015395
动态平衡,喜欢,0.45203821084408435
动听,喜欢,2.334215519607314
斗胆,喜欢,4.059259771391601
豆腐心,喜欢,2.586858739535303
逗,喜欢,3.7819585064112466
逗人,喜欢,3.041680124004589
独出心裁,喜欢,2.984727687173591
独到,喜欢,6.443374693355823
独具慧眼,喜欢,2.2373727856120986
独具匠心,喜欢,5.107736691131325
独具特色,喜欢,4.525404618167635
独具只眼,喜欢,4.090814857102851
度量大,喜欢,5.543147818976486
端,喜欢,3.0482819197667466
端端正正,喜欢,4.784488024485787
端方,喜欢,2.9143062756945923
端静,喜欢,3.389998020686921
端丽,喜欢,3.0353468781269486
端平,喜欢,5.628617436018063
端秀,喜欢,2.216645490503242
端雅,喜欢,0.4068596901756871
端整,喜欢,5.241214612565928
端正,喜欢,2.6473424006422035
端直,喜欢,3.8945042222138366
端重,喜欢,0.806401231830514
端庄,喜欢,1.14672139103605
短平快,喜欢,5.515481277172181
短小精悍,喜欢,8.18339417666989
断然,喜欢,4.066770427936833
对,喜欢,6.466386302562636
对称,喜欢,4.230853055672696
对号,喜欢,6.295208399636827
对劲儿,喜欢,5.200472808776054
对头,喜欢,4.247888840831212
对味儿,喜欢,0.40118864249595854
墩墩实实,喜欢,6.4335455454409285
敦,喜欢,2.5916547138679444
敦敦实实,喜欢,4.516824112153168
敦厚,喜欢,3.4548139739219303
敦实,喜欢,1.021921174662896
多才多艺,喜欢,0.07796441688239053
多彩,喜欢,3.1942348660611906
多快好省,喜欢,6.412420611380108
多劳多得,喜欢,3.6076464350926654
多情,喜欢,1.521324628588192
多情善感,喜欢,4.7310342504018426
多姿,喜欢,2.949728518737961
多姿多采,喜欢,3.903501821133234
夺目,喜欢,1.6435018465081326
扼要,喜欢,1.9760912596359828
恩爱,喜欢,6.76175466587997
恩恩爱爱,喜欢,4.575872633652484
耳聪目明,喜欢,4.298608822773865
耳熟,喜欢,4.493843584712409
耳熟能详,喜欢,5.011672742068175
耳闻目睹,喜欢,2.7723599184437333
尔雅,喜欢,3.0531355252315686
二话不说,喜欢,4.263064810838301
二话没说,喜欢,5.629034362367912
发人深省,喜欢,2.8643261976115815
发人深思,喜欢,1.6463668244256247
发育完全,喜欢,4.691168075006176
发自肺腑,喜欢,8.140739184853242
发噱,喜欢,1.2371106426310434
法定,喜欢,2.9690835254515213
翻天覆地,喜欢,-0.8488582599613679
繁花似锦,喜欢,5.492347221389314
繁华,喜欢,5.394554073975363
繁茂,喜欢,1.1457983666229445
繁荣富强,喜欢,6.3572855972386115
繁盛,喜欢,-2.055052444531584
芳,喜欢,4.3927855457038625
芳香,喜欢,7.403612134101707
方便,喜欢,3.93780522349374
方方正正,喜欢,6.3519581567732875
方正,喜欢,7.681383292609196
放之四海而皆准,喜欢,4.019528994847318
菲,喜欢,6.560489615329328
菲菲,喜欢,5.631453693215188
非常耐久,喜欢,6.87071192717254
非常热心,喜欢,4.077077067060882
非同小可,喜欢,5.379142242333881
飞快,喜欢,1.482936622666767
肥,喜欢,5.960224255162608
肥美,喜欢,5.217325048950686
肥沃,喜欢,2.860274918837356
匪夷所思,喜欢,1.5353218232839545
芬芳,喜欢,3.4884509072049337
芬芳袭人,喜欢,3.901228511930834
芬芳馥郁,喜欢,4.726679527668098
芬香,喜欢,2.325318398135876
分秒必争,喜欢,4.99720609733136
分明,喜欢,1.964527170070793
分文不取,喜欢,3.97482789681412
分析纯,喜欢,-0.7224973910936416
奋勇,喜欢,3.7989800497344
丰,喜欢,2.060815818115403
丰茂,喜欢,5.756440363012592
丰美,喜欢,3.0406253446541953
丰饶,喜欢,5.496182916181532
丰润,喜欢,3.475095628168808
丰实,喜欢,1.9535594251815893
丰沃,喜欢,3.3949568113457946
丰裕,喜欢,6.297594577505867
丰姿绰约,喜欢,3.5246741242211126
丰腴,喜欢,6.044539464821894
锋快,喜欢,4.124559711355055
锋利,喜欢,3.558276131403062
风度翩翩,喜欢,7.7936275758392775
风发,喜欢,3.746446952931143
风风光光,喜欢,3.748356305232415
风风火火,喜欢,3.5758418212936127
风光,喜欢,1.622422042541055
风光如画,喜欢,2.4974018414925054
风光旖旎,喜欢,4.379980612488663
风华正茂,喜欢,5.470260485286804
风景如画,喜欢,2.958019267690922
风流,喜欢,4.765349675380237
风流倜傥,喜欢,4.890326277622729
风靡,喜欢,7.517690550064255
风平浪静,喜欢,4.378731541057643
风起云涌,喜欢,4.814567413355345
风趣,喜欢,5.643792920826393
风行,喜欢,2.8419097306726138
风雅,喜欢,5.352545834294708
风雨无阻,喜欢,5.690717762461952
风姿绰约,喜欢,6.880700561253034
奉公守法,喜欢,0.6938836155337147
凤毛麟角,喜欢,1.973707860853383
扶疏,喜欢,2.59451864895603
服服帖帖,喜欢,1.0373589611680347
服帖,喜欢,4.816814353033523
福如东海,喜欢,4.896967354444358
负责,喜欢,1.5030649598104224
富,喜欢,4.354859095840349
富贵,喜欢,2.0975437322744908
富甲一方,喜欢,3.0329097393364965
富可敌国,喜欢,4.327239055846934
富丽,喜欢,3.573186512824545
富丽堂皇,喜欢,5.2169339913621595
富饶,喜欢,4.438522133984
富实,喜欢,5.158034308733198
富庶,喜欢,2.823365834706303
富有,喜欢,7.59478920883949
富有成果,喜欢,-0.8273090954919136
富有成效,喜欢,4.0101602417573465
富有弹性,喜欢,1.9725624633018457
富裕,喜欢,3.7105771601486044
富足,喜欢,4.0081062348303025
妇孺皆知,喜欢,3.1959865079378464
盖了帽,喜欢,4.568034477955339
盖帽,喜欢,2.8726596724318467
干脆,喜欢,4.33623714311486
干脆利落,喜欢,5.631897641357669
干干净净,喜欢,7.833330486736317
干净,喜欢,2.275143852427682
干净利落,喜欢,4.8837584963086
干练,喜欢,7.74121389440319
甘,喜欢,3.6739362436452256
甘醇,喜欢,1.3275166101045337
甘美,喜欢,8.980898421924724
甘美多汁,喜欢,3.999992130835573
甘甜,喜欢,4.498277125302838
甘味,喜欢,5.90038386757516
甘之如饴,喜欢,5.616155979092295
肝胆过人,喜欢,2.370173549409726
感人,喜欢,5.277951202503672
敢,喜欢,1.9063747625316987
刚,喜欢,6.2226896422051805
刚刚,喜欢,4.3351827449112585
刚好,喜欢,3.5000508066673266
刚健,喜欢,0.9791830915413606
刚劲,喜欢,3.907257832717792
刚劲有力,喜欢,1.3779314448892164
刚强,喜欢,3.0529409414590014
刚毅,喜欢,3.5599854629115564
刚硬,喜欢,4.6688801821501835
刚正,喜欢,6.290018989482901
刚正不阿,喜欢,3.9565229246820035
刚直,喜欢,2.329286097768441
刚直不阿,喜欢,3.202775707410555
钢铁,喜欢,4.952882185388618
纲领性,喜欢,3.6370447451109342
高,喜欢,7.117120442144942
高标号,喜欢,6.59729575129572
高标准,喜欢,4.621426524059508
高层,喜欢,1.7929763321655194
高超,喜欢,2.5388084503844484
高纯,喜欢,3.109946554239498
高大,喜欢,5.54637706078238
高档,喜欢,5.181643555351675
高档化,喜欢,4.584081664630891
高等,喜欢,6.456906157607175
高等级,喜欢,5.340672610972589
高端,喜欢,4.362438889719011
高风峻节,喜欢,8.021322385977165
高风亮节,喜欢,2.045856999399297
高高手儿,喜欢,3.0629152551570216
高贵,喜欢,5.59011985341054
高级,喜欢,3.801210134990935
高级化,喜欢,6.617958692724052
高洁,喜欢,2.7227714044076907
高精度,喜欢,2.076193745942132
高精尖,喜欢,4.771470844565995
高妙,喜欢,1.5639645749151176
高明,喜欢,3.9154554633029024
高强,喜欢,5.151810863865533
高强度,喜欢,6.65191718327316
高人一等,喜欢,3.892574302498934
高山流水,喜欢,7.297060547994038
高尚,喜欢,3.4071395665867827
高深,喜欢,5.270231401717088
高深莫测,喜欢,3.7830359773561235
高屋建瓴,喜欢,6.049953664575367
高效,喜欢,2.183447993543438
高效能,喜欢,4.673495073855751
高效益,喜欢,4.3409621670979455
高新,喜欢,5.062955080900968
高性能,喜欢,0.7888802578699092
高雅,喜欢,4.743923679459289
高雅简朴,喜欢,1.59875130489347
高瞻远瞩,喜欢,2.6040418091863704
高质量,喜欢,1.268587013869893
高姿态,喜欢,4.883226002091217
膏腴,喜欢,2.6959544309687593
革命,喜欢,2.7401391391860432
革命性,喜欢,6.391193440652289
个性鲜明,喜欢,4.60640333064575
各得其所,喜欢,7.374556777604072
根本,喜欢,3.527219529455769
根深蒂固,喜欢,1.9384252832097615
根深柢固,喜欢,2.8384180459089867
跟脚,喜欢,5.035302655051336
更优越,喜欢,5.236413176639516
耿,喜欢,4.708942985922535
耿耿,喜欢,4.195554415940825
耿介,喜欢,4.296059943338642
耿介不阿,喜欢,1.4147740338016983
耿直,喜欢,3.86978635023829
梗直,喜欢,2.3695809559060774
工工整整,喜欢,4.611851359566179
工巧,喜欢,4.063802255185092
工稳,喜欢,4.978402305560736
工细,喜欢,6.282192321833826
工整,喜欢,2.092398259760018
工致,喜欢,6.035990343985288
功不可没,喜欢,3.572262927583771
功德无量,喜欢,5.186071065928518
恭,喜欢,8.755956861113727
恭恭敬敬,喜欢,4.855364349294089
恭谨,喜欢,4.9521600941456585
恭敬,喜欢,5.493517950515108
恭顺,喜欢,3.283245628196088
公,喜欢,4.43274055991865
公道,喜欢,5.460279608991106
公而忘私,喜欢,3.9237605527955983
公开,喜欢,4.881053997555019
公平,喜欢,2.2149291807720997
